frequency_hz,vin_rms_v,vout_rms_v,fundamental_rms_v,gain_v_v,power_w,thd_percent
20.0,0.0007069917509155222,0.003313610120590202,0.003314129291341491,4.686914827930068,1.3725015039097268e-06,0.22006775248108987
50.0,0.0007069917509199387,0.0072463783120536905,0.007246903394632191,10.24959386389543,6.563749830175261e-06,0.44296500831170715
100.0,0.0007069917509199387,0.010584197787559146,0.010583587782275862,14.970751460376976,1.4003155350771492e-05,0.6485485840261849
200.0,0.0007069917509199387,0.01249371123604671,0.012491777383321988,17.671650651920444,1.9511602556214973e-05,0.7777418701135173
500.0,0.0007069917509199004,0.013222479267660014,0.013219898310750221,18.70245197409393,2.1854244747962363e-05,0.8340319192047286
1000.0,0.0007069917509199004,0.01325924442939306,0.013256655369261027,18.75445422402854,2.197594535479886e-05,0.8206471164953463
2000.0,0.0007069917509199004,0.012974686127648412,0.01297242177860556,18.351962538129243,2.104281001387402e-05,0.7358491929070793
5000.0,0.0007069917509253012,0.01126785598295066,0.011266908338234688,15.93774746056576,1.5870572306564626e-05,0.48636530070950873
10000.0,0.0007069917509253012,0.008199698932839236,0.008199910540756434,11.598012172147103,8.404382823650614e-06,0.4607333707836273
20000.0,0.0007069917509253012,0.004787035101037049,0.004787524454104028,6.770991450426179,2.8644631323200984e-06,0.4949268314479492
